City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
447,anaconda,46.1285,-112.9423,-1.64,62,39,1.57,US,1670101122
448,makat,47.6469,53.3463,-9.03,58,0,5.82,KZ,1670101123
449,sayansk,54.1088,102.1648,-15.09,95,100,2.64,RU,1670101123
450,turkistan,43.0,68.0,-8.01,67,88,3.72,KZ,1670101124
451,jimma,7.6667,36.8333,16.52,53,53,0.46,ET,1670101124
452,le mars,42.7942,-96.1656,-0.24,54,0,5.66,US,1670101125
453,zyryanka,65.75,150.85,-39.38,98,14,2.68,RU,1670101125
454,elizabeth city,36.2946,-76.2511,17.79,94,100,2.68,US,1670101116
455,gorontalo,0.5412,123.0595,23.51,94,100,1.21,ID,1670101126
456,coahuayana,18.7333,-103.6833,30.99,55,83,2.63,MX,1670101127
457,atambua,-9.1061,124.8925,22.2,75,53,1.38,ID,1670101127
458,pampa,35.5362,-100.9599,7.54,24,0,3.09,US,1670101188
459,khani,41.9563,42.9566,3.76,96,100,1.64,GE,1670101188
460,sisimiut,66.9395,-53.6735,-3.35,85,100,10.15,GL,1670101189
461,sol-iletsk,51.1631,54.9918,-13.61,83,5,3.15,RU,1670101189
462,shelburne,44.0787,-80.2041,0.25,78,93,9.73,CA,1670101081
463,masumbwe,-3.6333,32.1833,18.61,84,18,0.15,TZ,1670101190
464,muros,42.7762,-9.0603,7.83,75,0,6.53,ES,1670101190
465,batemans bay,-35.7167,150.1833,16.17,65,0,1.24,AU,1670101191
466,egvekinot,66.3167,-179.1667,-9.44,55,100,6.86,RU,1670101191
467,hernani,43.2662,-1.9762,5.78,88,75,1.03,ES,1670101192
468,guanica,17.9716,-66.908,28.36,69,13,0.46,PR,1670101192
469,clovis,36.8252,-119.7029,16.12,93,100,1.34,US,1670101193
470,otavi,-19.65,17.3333,25.49,39,78,4.75,NA,1670101193
471,dwarahat,29.7833,79.4333,8.25,70,0,1.64,IN,1670101194
472,olinda,-8.0089,-34.8553,27.85,65,40,3.6,BR,1670101194
473,aquiraz,-3.9014,-38.3911,28.05,75,8,5.68,BR,1670101195
474,fare,-16.7,-151.0167,26.93,76,66,8.02,PF,1670101195
475,cordoba,-31.4135,-64.1811,35.0,14,0,2.06,AR,1670100915
476,bonthe,7.5264,-12.505,25.6,82,76,2.32,SL,1670101196
477,antanifotsy,-19.65,47.3167,16.44,88,100,0.42,MG,1670101196
478,palmer,42.1584,-72.3287,12.83,84,100,6.69,US,1670101197
479,frontera,26.9333,-101.45,22.48,58,17,4.73,MX,1670101197
480,sharjah,25.3573,55.4033,25.99,68,0,1.54,AE,1670101198
481,staryy nadym,65.6118,72.6842,-12.58,94,97,4.21,RU,1670101198
482,richards bay,-28.783,32.0377,20.43,80,100,2.63,ZA,1670101199
483,kruisfontein,-34.0033,24.7314,16.6,77,100,1.46,ZA,1670101199
484,kieta,-6.2167,155.6333,26.41,84,100,0.58,PG,1670101200
485,katsuura,35.1333,140.3,16.01,63,98,9.43,JP,1670101200
486,gravdal,68.1214,13.5031,3.11,70,100,5.13,NO,1670101201
487,gimli,50.6336,-96.9907,-15.13,83,75,5.21,CA,1670101201
488,rahuri,19.3833,74.65,21.4,65,8,1.59,IN,1670101201
489,boa vista,2.8197,-60.6733,26.99,74,75,3.6,BR,1670100911
490,porto novo,6.4965,2.6036,26.36,82,31,3.5,BJ,1670101203
491,ayan,56.45,138.1667,-22.02,83,79,5.93,RU,1670101203
